"sample_name","Amino Sugar","Carbohydrate","Cond Hydrocarbon","Lignin","Lipid","Other","Protein","Tannin","Unsat Hydrocarbon"
"60923_10_BTM",4.2435655994978,3.96735718769617,6.1519146264909,43.8166980539862,4.7834274952919,8.03515379786566,19.8367859384809,8.78844946641557,0.376647834274953
"60923_10_TOP",4.77286493034525,4.22774076317383,7.61962447001817,38.8734100545124,5.40278619018776,8.63718958207147,22.1562689279225,7.9588128407026,0.351302241066021
"60923_11_BTM",3.90583199571964,3.4242910647405,7.04119850187266,45.5216693418941,4.77260567148208,7.69395398608882,18.2664526484751,8.90315676832531,0.470840021401819
"60923_11_TOP",4.28663515255694,3.71723248818221,7.21959604641169,40.3416415986248,5.93038246669532,9.14267296948861,21.7017619252256,7.17662226042114,0.48345509239364
"60923_12_BTM",3.89251354638947,3.42806590733164,5.77242065686166,46.5221718456265,5.35220612628552,8.31582439455933,18.8322459360832,7.30952117660069,0.575030410262081
"60923_12_TOP",4.39522998296423,3.8160136286201,6.5076660988075,41.8739352640545,5.05962521294719,8.04088586030664,21.1584327086882,8.6541737649063,0.494037478705281
"60923_13_BTM",3.99643881689583,3.98654664160649,5.6187555643486,46.2261351271145,4.96587199525176,8.32921159362944,18.9138391532298,7.44880799287763,0.514393115045999
"60923_13_TOP",5.08112724167378,4.65414175918019,5.63620836891546,38.8129803586678,5.40848277825221,8.58240819812126,24.025049814973,7.3868488471392,0.412752633077142
"60923_14_BTM",3.79685375801126,3.79685375801126,6.66148766750825,47.0479704797048,4.0590405904059,7.52573315206836,17.2751990677802,9.53583220042727,0.301029326082735
"60923_14_TOP",4.28064553050246,3.86860478425089,10.1636717408722,38.434245164244,5.12761817557514,8.04624012819045,20.5448094311549,9.16790660409752,0.36625844111251
"60923_15_BTM",3.59739762724837,2.80648041842072,14.2237530297232,38.6401326699834,4.80928689883914,7.93468554662585,16.8261257813497,10.6008419441255,0.561296083684143
"60923_15_TOP",3.53093618399741,3.10981535471331,12.8603822481374,37.9656624554584,5.28020732102365,8.91912320483749,17.2551560306662,10.5172227621207,0.561494439045459
"60923_16_BTM",3.7180910099889,2.80244173140954,12.9439511653718,36.3762486126526,5.93784683684795,9.40621531631521,18.1048834628191,9.78079911209767,0.929522752497225
"60923_16_TOP",3.51758793969849,3.12674483528755,11.9039642657733,38.2467895030709,5.09212730318258,9.64824120603015,17.5209380234506,10.251256281407,0.692350642099386
"60923_17_BTM",3.56431000117247,2.82565365224528,14.2220658928362,36.8976433345058,5.69820612029546,8.95767381873608,17.9153476374722,9.13354437800446,0.785555164732091
"60923_17_TOP",3.66338951310861,3.125,13.3075842696629,39.1385767790262,4.63483146067416,8.14606741573034,17.2635767790262,10.311329588015,0.409644194756554
"60923_18_BTM",3.41755156841206,2.78286341999268,12.9012571707555,38.6427438056878,4.84559990235567,8.86122299523984,17.7956792383742,9.97192725497376,0.781154644208471
"60923_18_TOP",3.15443397902968,2.81677625733073,14.883596943309,39.5859250044429,4.53172205438066,8.66358628043362,15.4878265505598,10.6273325039986,0.248800426515017
"60923_19_BTM",3.82364416699181,3.64156587332553,9.75419430355053,37.3650669788009,6.97099752893744,9.76719989595526,21.2381323969307,6.46377942515282,0.975419430355053
"60923_19_TOP",3.59224329765815,3.30613542439335,13.90272332309,37.861608562043,4.57772597223694,8.56204302214687,17.5267563844442,10.1727243827488,0.498039631238741
"60923_1_BTM",4.98520373321193,4.92829501479627,5.9981789210107,39.1076712952424,6.33963123150467,8.76394263601184,22.7293421352151,6.74937400409743,0.398361028909629
"60923_1_TOP",3.89944928051164,3.09113519275182,13.6702789127731,37.6621069461716,4.2636347486232,8.5539172144253,17.2055427251732,11.3874578077811,0.26647717178895
"60923_20_BTM",3.6057129477874,3.57059236712714,11.9409974244908,35.8112854132522,6.87192694919223,10.0561929290564,19.8080074923905,7.25825333645516,1.07703114024819
"60923_20_TOP",3.59913519013099,3.11585908686252,13.4681419305609,39.641358260206,4.38763830599008,8.21569375556403,17.0418415363093,10.2505405061681,0.279791428208063
"60923_21_BTM",3.55785312452486,3.28417211494602,8.63615630226547,37.0989812984643,8.4841112969439,10.6127413714459,21.6816177588566,5.45841569104455,1.18595104150829
"60923_21_TOP",3.49061390157281,3.06443429731101,16.0121765601218,38.7721968543886,4.5662100456621,8.36123795027905,15.5352612886859,9.91374936580416,0.284119736174531
"60923_2_BTM",4.88403485090195,4.84722051785495,3.04331819855197,35.7221744999386,9.31402626089091,11.0074855810529,27.4512210087127,3.06786108724997,0.662657994845993
"60923_2_TOP",3.51963500081473,3.1122698386834,12.6772038455271,35.6933355059475,5.79273260550758,9.45087176144696,19.3824344142089,9.98044647221769,0.391070555646081
"60923_3_BTM",4.97497190724282,4.46419450403514,6.93635713556032,37.4808458473797,6.85463275104709,9.58218408417612,23.9452446623761,5.1792828685259,0.582286239656758
"60923_3_TOP",4.19525583218977,3.32287786708489,15.438149382474,34.2285826308567,5.16565379337385,8.50813565967457,18.9668692413252,9.90001960399922,0.27445598902176
"60923_4_BTM",5.1193358699412,5.17698604865675,4.80802490487721,35.7431108036435,7.44840309004958,9.29320880894731,26.5882624236135,5.52288712095007,0.299780929320881
"60923_4_TOP",3.91607203533809,3.6357458375807,13.9228678219504,36.5188583078491,4.49371389738362,8.61365953109072,18.3910975195379,10.1766904519198,0.331294597349643
"60923_5_BTM",4.53522589579366,4.10247533321793,1.81755236281807,31.7292712480526,13.1902371473083,12.428596157175,29.3924182101437,1.78293231781201,1.02129132767873
"60923_5_TOP",4.03293564106873,3.31036800537725,15.1403125525122,35.498235590657,5.07477734834482,8.69601747605445,18.7027390354562,9.14132078642245,0.403293564106873
"60923_6_BTM",4.64936071290198,5.15304145679969,3.88738215162082,37.4790133023376,8.61423220973783,10.5385509492445,24.9644840501098,4.02944595118171,0.684489216066124
"60923_6_TOP",4.24172944644612,3.45561742548313,4.96233213232886,34.7690795938421,10.1703242712086,11.7425483131346,25.4995086799869,4.22535211267606,0.933508024893547
"60923_7_BTM",4.65436518865326,4.14486367391903,9.23987882126136,39.8650509501515,6.30680253373726,8.38611952630129,21.6469292206004,5.38419168273203,0.3717984026439
"60923_7_TOP",3.07642747845695,2.39188209712491,21.019569944431,36.3533864862688,4.2039139888862,8.40782797777241,14.4479342836434,9.55142143835065,0.547636305065636
"60923_8_BTM",5.11729827275071,4.93683939159577,4.60170146945089,37.251869038412,6.63830884248518,9.56432070121165,25.2126836813612,6.13560195926785,0.541376643464811
"60923_8_TOP",4.60033041047147,4.21908755877494,6.74799847502859,36.5993137628669,6.26509086287965,9.16253653577329,24.2470453678994,7.66298131910027,0.49561570720549
"60923_9_BTM",4.55128205128205,4.44871794871795,2.8974358974359,45.7179487179487,6.17948717948718,8.74358974358974,22.1666666666667,4.88461538461538,0.41025641025641
"60923_9_TOP",4.37436419125127,4.05787272521759,7.79925398440149,39.2110319882446,5.88900192155533,8.89567084887533,21.3857804905618,8.02531931728269,0.361704532609924
